Date,Time,AffinityIndex,SerialNumber,H,Tmean,WindSpeed,WindDirection(°),Wmin,Wmax,Wmean,AtmosphericPressure,RelativeHumidity,TdewPoint(°C),WaterVaporElasticity,AbsolutusHumidity,DensityofAir,SpeedofSoundinAir
2018-03-01,09:33:00+00,1,15409AMK-03,2,-13.22,0.62,242.56,0.06,1.29,0.14,739.24,80.77,-15.83,1.79,1.42,1.3182,323.62
2018-03-02,10:20:00+00,1,15409AMK-03,2,-14.33,1.87,36.2,0.54,3.03,0.14,744.27,83.72,-16.47,1.7,1.35,1.3329,322.93
2018-03-03,11:08:00+00,1,15409AMK-03,2,-12.45,1.79,38.56,0.22,4.11,0.16,753.56,90.9,-13.62,2.14,1.71,1.3396,324.12
2018-03-04,11:56:00+00,1,15409AMK-03,2,-11.42,0.27,152.79,0.1,0.43,0.02,754.46,95.32,-12.01,2.44,1.94,1.3357,324.77
2018-03-05,12:44:00+00,1,15409AMK-03,2,-10.86,0.19,138.36,0.02,0.4,0.06,753.99,92.83,-11.79,2.49,1.98,1.332,325.12
2018-03-06,13:32:00+00,1,15409AMK-03,2,-5.38,0.41,203.13,0.06,1.1,0.16,749.64,100,-5.38,4.1,3.27,1.2963,328.59
2018-03-07,14:20:00+00,1,15409AMK-03,2,-4.06,2.36,45.51,0.62,6.52,0.1,742.81,82.53,-6.59,3.74,2.98,1.2784,329.38
2018-03-08,15:08:00+00,1,15409AMK-03,2,-12.99,2.17,8.92,0.22,4.84,0.17,750.63,100,-12.99,2.26,1.8,1.3371,323.79
2018-03-09,15:56:00+00,1,15409AMK-03,2,-10.57,0.49,196.75,0.21,0.8,0.06,745.79,97.92,-10.83,2.68,2.14,1.3159,325.31
2018-03-10,16:44:00+00,1,15409AMK-03,2,-12.63,0.4,155.44,0.2,0.66,0.05,745.53,94.89,-13.28,2.2,1.75,1.3262,324.01
2018-03-11,17:32:00+00,1,15409AMK-03,2,-13.1,1.29,147.3,0.07,2.27,0.08,749.54,89.02,-14.53,1.99,1.58,1.3358,323.7
2018-03-12,18:20:00+00,1,15409AMK-03,2,-17.64,0.53,155.48,0.23,1,0.04,758.56,94.86,-18.26,1.46,1.16,1.3762,320.84
2018-03-13,19:08:00+00,1,15409AMK-03,2,-19.27,0.71,253.14,0.54,0.89,0.13,758.37,100,-19.27,1.34,1.06,1.3848,319.81
2018-03-14,19:56:00+00,1,15409AMK-03,2,-17.16,0.33,221.31,0.13,0.58,0.09,751.46,100,-17.16,1.6,1.27,1.3607,321.15
2018-03-15,20:44:00+00,1,15409AMK-03,2,-3.88,1.56,64.75,0.22,2.92,0.12,751.45,100,-3.88,4.59,3.66,1.292,329.53
2018-03-16,21:32:00+00,1,15409AMK-03,2,-8.86,0.71,200.16,0.58,0.87,0.06,753.36,100,-8.86,3.14,2.5,1.3205,326.39
2018-03-17,22:19:00+00,1,15409AMK-03,2,-4.74,0.9,7.6,0.23,1.67,0.02,753.67,95.6,-5.33,4.11,3.28,1.3002,328.98
2018-03-18,23:07:00+00,1,15409AMK-03,2,-6.49,0.18,178.77,0.01,0.38,0.08,751.19,100,-6.49,3.76,3,1.3046,327.88
2018-03-19,23:55:00+00,1,15409AMK-03,2,-7.72,2.33,35.62,0.54,6.44,0.04,743.7,86.51,-9.58,2.96,2.36,1.298,327.09
2018-03-21,00:43:00+00,1,15409AMK-03,2,-7,0.41,264.81,0.22,0.71,0.09,748.62,93.42,-7.88,3.38,2.69,1.3028,327.55
2018-03-22,01:31:00+00,1,15409AMK-03,2,-7.39,0.65,267.84,0.4,0.95,0.05,745.71,100,-7.39,3.51,2.8,1.2996,327.32
2018-03-23,02:19:00+00,1,15409AMK-03,2,6.39,4.55,20.85,1.36,10.57,-0.07,730.11,96.32,5.85,9.24,7.4,1.2067,336.02
2018-03-24,03:07:00+00,1,15409AMK-03,2,2.07,0.71,257.26,0.02,1.21,0.11,737.06,93.56,1.14,6.63,5.3,1.2387,333.26
2018-03-25,03:55:00+00,1,15409AMK-03,2,-4.17,2.27,17.72,0.08,5.7,0.04,745.09,69.86,-8.86,3.14,2.5,1.2832,329.28
2018-03-26,04:43:00+00,1,15409AMK-03,2,-2.37,1.68,180.57,0.16,3.67,0.16,736.84,80.43,-5.28,4.13,3.29,1.26,330.43
2018-03-27,05:31:00+00,1,15409AMK-03,2,-1.66,2.84,47.11,0.64,5.68,0.17,743.68,68.9,-6.62,3.73,2.97,1.2686,330.84
2018-03-28,06:19:00+00,1,15409AMK-03,2,2.09,1.56,73.39,0.28,4.08,-0.03,745.4,54.01,-6.26,3.83,3.05,1.2542,333.12
2018-03-29,07:07:00+00,1,15409AMK-03,2,2.17,2.45,15.66,0.81,5.61,-0.02,747.24,48.37,-7.62,3.45,2.75,1.2571,333.15
2018-03-30,07:55:00+00,1,15409AMK-03,2,1.27,3.34,17.83,0.17,6.7,0.26,733.39,64.67,-4.66,4.33,3.45,1.2374,332.65
2018-03-31,08:43:00+00,1,15409AMK-03,2,-4.52,2.17,84.54,1.01,3.61,-0.11,748.22,24.32,-21.92,1.06,0.85,1.2914,328.95

